LocationCategoryCode	LocationCategoryLabel	DeseaseCategoryCode	DeseaseCategoryLabel
2108966855	Digestive system	944754984	Neoplasms of haematopoietic or lymphoid tissues
1803734370	Genitourinary system	1932345217	Diseases of the urinary system
340179422	Nervous system	1594217552	Malignant neoplasms of ill-defined or unspecified primary sites
40907641	Musculoskeletal system	97145147	Malignant neoplasm metastasis in other specified sites
340179422	Nervous system	1965146397	Human prion diseases
2079332103	Circulatory system	1784240230	Diseases of liver
910012423	Immune system	1425591047	Myasthenia gravis or certain specified neuromuscular junction disorders
40907641	Musculoskeletal system	1047754165	Malignant neoplasms of breast
340179422	Nervous system	653663824	Structural developmental anomalies of the skin
2108966855	Digestive system	851941810	Diseases of peritoneum
2108966855	Digestive system	2086488820	Diseases of small intestine
40907641	Musculoskeletal system	2021326314	Spinal cord disorders excluding trauma
57597214	Respiratory system	1965082709	Malignant mesenchymal neoplasms
687250607	Surface topography	390439470	Pleural, diaphragm or mediastinal disorders
687250607	Surface topography	1860070272	Certain disorders involving the immune system
1803734370	Genitourinary system	2013857037	Structural developmental anomalies of the female genital system
40907641	Musculoskeletal system	1523445293	Osteopathies or chondropathies
1144883259	Walls in the Body	1980672892	Diseases of appendix
358111161	Visual system	1376721186	Malignant neoplasms of eye or ocular adnexa
57597214	Respiratory system	1703442464	Pulmonary heart disease or diseases of pulmonary circulation
687250607	Surface topography	902999289	Diseases of middle ear or mastoid
358111161	Visual system	1060046426	Strabismus or ocular motility disorders
2108966855	Digestive system	150210507	Malignant neoplasms of intestine
2108966855	Digestive system	963821314	Malignant neoplasms of large intestine
57597214	Respiratory system	1939815950	Mycoses
340179422	Nervous system	1427441570	Cerebral ischaemia
687250607	Surface topography	794095161	Malignant neoplasms of lip, oral cavity or pharynx
687250607	Surface topography	1294458332	Hernias
1474896355	Body Tissues	63858592	Nerve root or plexus disorders
358111161	Visual system	452386362	Injuries to the head
2079332103	Circulatory system	1164983645	Diseases of arteries or arterioles
687250607	Surface topography	192916160	Benign mesenchymal neoplasms
340179422	Nervous system	164118119	Benign neoplasms except of mesenchymal origin
256187719	Haematopoietic system	911859018	Malignant neoplasms of digestive organs
57597214	Respiratory system	1296696944	Pericarditis
57597214	Respiratory system	1146446025	Pulmonary valve disease
340179422	Nervous system	1719545571	Disorders with neurocognitive impairment as a major feature
2079332103	Circulatory system	1096290580	Malignant neoplasms of urinary tract
2108966855	Digestive system	111033337	Malignant neoplasm metastasis in digestive system
2108966855	Digestive system	1980672892	Diseases of appendix
1803734370	Genitourinary system	192916160	Benign mesenchymal neoplasms
409827719	Endocrine system	237003158	Disorders of the adrenal glands or adrenal hormone system
2079332103	Circulatory system	723430526	Diseases of veins
1144883259	Walls in the Body	1294458332	Hernias
2079332103	Circulatory system	1489212950	Injuries to the abdomen, lower back, lumbar spine or pelvis
340179422	Nervous system	1510094736	Postprocedural disorders of the nervous system
2108966855	Digestive system	1057832531	Structural developmental anomalies of the digestive tract
57597214	Respiratory system	770439884	Multiple developmental anomalies or syndromes
2108966855	Digestive system	164118119	Benign neoplasms except of mesenchymal origin
910012423	Immune system	164118119	Benign neoplasms except of mesenchymal origin
340179422	Nervous system	894625870	Structural developmental anomalies of the skeleton
687250607	Surface topography	1250212986	Structural developmental anomalies of the neck
687250607	Surface topography	1120037543	Malignant neoplasms of endocrine glands
1474896355	Body Tissues	1523445293	Osteopathies or chondropathies
57597214	Respiratory system	1858685964	Respiratory disorders specific to the perinatal or neonatal period
687250607	Surface topography	879154182	Neoplasms of central nervous system or related structures
2079332103	Circulatory system	1821859817	Chronic arterial occlusive disease
687250607	Surface topography	1047754165	Malignant neoplasms of breast
1803734370	Genitourinary system	751805133	Malignant neoplasms of female genital organs
340179422	Nervous system	843843448	Cerebrovascular diseases
1803734370	Genitourinary system	1096290580	Malignant neoplasms of urinary tract
910012423	Immune system	944754984	Neoplasms of haematopoietic or lymphoid tissues
2108966855	Digestive system	1294458332	Hernias
1803734370	Genitourinary system	1120037543	Malignant neoplasms of endocrine glands
2108966855	Digestive system	1726554290	Diseases of pancreas
2108966855	Digestive system	1619106991	Malignant neoplasm metastasis in thoracic or respiratory organs
687250607	Surface topography	1523445293	Osteopathies or chondropathies
2079332103	Circulatory system	1066261769	Certain specified joint disorders or deformities of limbs
687250607	Surface topography	1668567256	Malignant neoplasm metastasis in retroperitoneum or peritoneum
340179422	Nervous system	1646490591	Viral infections characterised by skin or mucous membrane lesions
57597214	Respiratory system	390439470	Pleural, diaphragm or mediastinal disorders
57597214	Respiratory system	1860070272	Certain disorders involving the immune system
358111161	Visual system	879154182	Neoplasms of central nervous system or related structures
57597214	Respiratory system	915779102	Lung infections
340179422	Nervous system	1236563202	Harmful effects of substances
687250607	Surface topography	1739890344	Disorders of muscles
340179422	Nervous system	1523445293	Osteopathies or chondropathies
1803734370	Genitourinary system	234446094	Diseases due to trematodes
1803734370	Genitourinary system	260716451	Structural developmental anomalies of the urinary system
2108966855	Digestive system	598093212	Inflammatory bowel diseases
40907641	Musculoskeletal system	1075198519	Disorders of subcutaneous fat
40907641	Musculoskeletal system	1489212950	Injuries to the abdomen, lower back, lumbar spine or pelvis
687250607	Surface topography	164118119	Benign neoplasms except of mesenchymal origin
